Name,strength,dose form,Packaging,Container
Benzathine Benzylpenicillin,1.44 g,injection,,vial
Benzylpenicillin,4 g,injection,,vial
Phenoxymethypenicillin,250 mg,tablet,,
Amoxycillin,250 mg,capsule,,
Amoxycillin,125 mg/5 mL,elixir,,
Amoxicillin + clavulanic acid,500 mg + 125 mg,tablet,,
Ampicillin sodium,250 mg,injection,,vial
Flucloxacillin,250 mg,capsule,,
Flucloxacillin,125 mg/5 mL,elixir,,
Flucloxacillin,250 mg,injection,,vial
Cefotaxime,500 mg,injection,,
Cephalexin,250 mg,capsule,,
Cloxacillin,250 mg,capsule,,
Ceftriaxone,1 g,injection,,
Procaine penicillin,4.8 MU,injection,,vial
Chloramphenicol sodium succinate,1 g,injection,,vial
Co-trimoxazole,480 mg,tablet,,
Doxycline,100 mg,tablet,,
Erythromycin,250 mg,tablet,,
Gentamicin,40 mg/mL,injection,2 mL,vial
Metronidazole,200 mg,tablet,,
Chloramphenical,250 mg,capsule,,
Erythromycin ethyl succinate,125 mg/5 mL,suspension,,
Metronidazole,200 mg/ 5 mL,suspension,,
Nalidixic Acid,500 mg,tablet,,
Chloramphenicol,12 mg/mL,suspension,,
Gentamicin,10 mg/ml,injection,2 mL,vial
Nitrofurantoin,25 mg/5 mL,suspension,,
Sodium fusidate,250 mg,tablet,,
Azithromycin,250 mg,capsule,,
Clofazimine,50 mg,capsule,,
Dapsone,100 mg,tablet,,
Rifampicin,150 mg,capsule,,
Ethambutol HCL,400 mg,tablet,,
Isoniazid ,100 mg,tablet,,
Isoniazid + ethambutol,150 mg + 400 mg,tablet,,
Pyrazinamide,400 mg,tablet,,
Rifampicin + isoniazid ,100 mg + 50 mg,tablet,,
Streptomycin sulphate,5 g,injection,,
Capreomycin,1 g,injection,,vial
Kanamycin,1 g,injection,,vial
Amicacin,1 g,injection,,vial
Ethionamide,250 mg,tablet,,
Ofloxacin,400 mg,tablet,,
Cycloserine,250 mg,tablet,,
Nystatin,,pessary,,
Clotrimazole,100 mg,vaginal tablet,,
Gentian violet,0.50%,aqueous paint,500 mL,
Ketoconazole,200 mg,tablet,,
Ketoconazole,100 mg/5 mL,suspension,,
Griseofulvin,125 mg,tablet,,
Fluconazole,250 mg,capsule,,
Fluconazole,2 mg/mL,i/v infusion,25 mL,
Fluconazole,50 mg/ml,oral liquid,,
Metronidazole,200 mg/5 mL,suspension,,
Artemether + Lumefantrine,20mg + 120 mg,tablet,,
Artesunate + Amodiaquine,,tablet,,
Sulfadoxine + Pyrimethamine (SP),25 mg + 500 mg,tablet,,
Quinine dyhydrochloride,300 mg/mL,injection,2 mL,ampoule
Proguanil HCL,100 mg,tablet,,
Quinine Sulphate,300 mg,tablet,,
Chloroquine phosphate,250 mg,tablet,,
Halofantrine,100 mg/5 mL,suspension,,
Mefloquine hydrochloride,250 mg,tablet,,
Melasoprol B,3.60%,injectable solution,6 mL,ampoule
Suramin sodium,1 g,injection,,vial
Acyclovir,200 mg,tablet,,
Acyclovir,,cream,,
Didanisone,50 mg,tablet,,
Stavudine,30 mg,tablet,,
Lamivudine,150 mg,tablet,,
Tenofovir,300 mg,tablet,,
Abacavir,300 mg,tablet,,
Zidovudine,300 mg,tablet,,
Efavirenz,600 mg,tablet,,
Nevirapine,200 mg,tablet,,
Lopinavir + Ritonavir,133.33 mg + 33.3 g,capsule,,
Stavudine + Lamivudine + Nevirapine,30 mg + 150 mg + 200 mg,tablet,,
Zidovudine + Lamivudine + Nevirapine,300 mg + 150 mg + 200 mg,tablet,,
Zidovudine + Lamivudine,300 mg + 150 mg,tablet,,
Propranolol HCL,40 mg,tablet,,
Actinomycin,500 microgram,injection,,
Busulphan,2 mg,tablet,,
Cyclophosphamide,200 mg,injection,,vial
Vincristine sulphate,1 mg,tablet,,
Chlorambucil,2 mg,tablet,,
Cyclophosphamide,50 mg,tablet,,
Melphalan,2 mg,tablet,,
Methotrexate,2.5 mg,tablet,,
Methotrexate,2.5 mg/mL,injection,1 mL,ampoule
Benzhexol HCL,5 mg,tablet,,
Bromocriptine,2.5 mg,tablet,,
Levodopa + carbidopa,250 mg + 25 mg,tablet,,
Ferrous sulphate + Folic acid,200 mg + 0.5 mg,tablet,,
Ferrous sulphate,60 mg/5 mL,mixture,,
Folic acid,5 mg,tablet,,
Iron sorbitol,5% (50 mg/mL),injection,2 mL,ampoule
Hydroxocobalamin,1 mg/mL,injection,1 mL,ampoule
Phytomenadione,1 mg/0.5 mL,injection,,ampoule
Phtytomenadione,10 mg/mL,injection,1 mL,ampoule
Warfrin sodium,1 mg,tablet,,
Heparin sodium,5000 IU/mL,injection,5 mL,vial
Protamine sulphate,10 mg/mL,injection,5 mL,ampoule
Potassium binding resin,,powder,,
Gelatin,,i/v infusion,500 mL,pack
Glceryl trinitrate,500 microgram,tablet,,
Isosorbide dinitrate,10 mg,tablet,,
Nifedipine,10 mg,capsule,,
Nifedipine,20 mg,tablet,,
Lignocaine HCL,1%,injection,25 mL,vial
Hydralazine HCL,20 mg,injection,,ampoule
Prapranolol HCL,40 mg,tablet,,
Reserpine,250 micrograms,tablet,,
Hydralazine HCL,25 mg,tablet,,
Methyldopa,250 mg,tablet,,
Reserpine,1 mg/mL,injection,1 mL,ampoule
Captopril,12.5 mg,tablet,,
Prazosin,1 mg,tablet,,
Enalapril,2.5 mg,tablet,,
Amlodipine,5 mg,tablet,,
Atenolol,50 mg,tablet,,
Atenolol,100 mg,tablet,,
Ephedrine sulphate,30 mg/mL,injection,1 mL,ampoule
Dopamine HCL,40 mg/mL,injection,5 mL,ampoule
Methoxamine HCL,20 mg/mL,injection,1 mL,ampoule
Digoxin,250 micrograms,tablet,,
Digoxin,0.25 mg/mL,injection,2 mL,ampoule
Digoxin,62.5 micrograms,tablet,,
Digoxin,0.05 mg/mL,elixir,,
Benzoic acid + Salicylic acid,6% + 3%,ointment,500 g,
Clotrimazole,1%,cream,20 g,
Sodium thiosulphate,10%,aqueous lotion,500 mL,
Calamine lotion + Sulphur 2%,,aqueous lotion,500 mL,
Potassium permanganate solution,3%,,500 mL,
Salicylic acid + sulphur,5% + 5%,ointment,500 g,
Iodine,weak,solution,500 mL,
Zinc ointment + Sulphur 5%,,ointment,500 g,
Zinc paste compund + sulphur 5%,,paste,500 g,
Hydrogen peroxide,,solution,500 mL,
Silver sulphadiazine,1%,cream,500 g,
Brilliant green,0.10%,paint,500 mL,
Hydrocortisone,1%,ointment,15 g,
Betamethasone,0.15,ointment,15 g,
Calamine,,aqueous lotion,500 mL,
Podophyllum resin,15%,alcholic paint,20 mL,
Benzoyl peroxide,5%,gel,30 g,
Salicylic acid,5%,lotion,500 mL,
Salicylic acid 2% + Coal tar solution 15% + sulphur 2%,,shampoo,500 mL,
Salicylic acid,5%,ointment,500 mL,
Salicylic acid,12%,collodion,,
Coal tar,,,500 g,
Dithranol 0.5% in Zinc + Salicylic acid paste,,paste,500 g,
Salicylic acid (crude coal tar 5%),,ointment,500 g,
Zinc paste compund + crude coal tar 5%,,paste,500 g,
Benzyl benzoate,25%,application,500 mL,
Lindane,1%,cream,,
Lindane,1%,Lotion,,
Emulsifying ointment,,,500 g,
Etyl Chloride,,spray,,
Zinc oxide (in EO base),15%,ointment,500 g,
Silver Nitrate,,toughened pencil,,
Yellow soft paraffin,,ointment,,
Fluorescein sodium,1%,eye drops,,
Barium Sulphate,98%,powder,340 g,pack
Barium Sulphate,70%,cream,800 g,tube
Barium Sulphate,,enema,,
Sodium diatrizoate + Meglumine diatrizoate,10 % + 66%,injection,20 mL,ampoule
Barrium Sulphate,93%,enema,400 g,pack
Effervescent agent (carbex),,granules,25 g,sachet
Effervescent agent (carbex),,solution,,
Lopanoic acid,500 mg,tablet,,
lopamidol,6.12 g/10 mL,injection,,ampoule
Meglumine iothalamate,60%,injection,50 mL,bottle
Meglumine iothalamate,17%,i/v infusion,100 mL,vial
Propylidone,50%,aqueous suspension,20 mL,vial
Sodium diatrizoate + Meglumine diatrizoate,10% + 66%,aqueous solution,100 mL,
Sodium iothalamate,70%,injection,20 mL,ampoule
Magnevist,,,,
Gadolinium,,,,
Mei optonix screen cleaner,,,,
Ultravist,370/300 mg/ml,,,
Xentix 300,,,,
x-prep,,,,
Albustix,,reagent strip,50,strips
Clinistix,,reagent strip,50,strips
Ketostix,,reagent strip,50,strips
Blood group test serum (Anti-A),,,5 mL,dropper bottle
Blood group test serum (Anti-AB),,,5 mL,dropper bottle
Blood group test serum (Anti-D),,,5 mL,dropper bottle
Glucostx,,reagent strip,50,strips
VDRL carbon antigen,,test reagent,50 mL,bottle
Pregnancy test,,,,test kit
Bovine albumin,,solution,5 mL,dropper bottle
Cetrimide + chlorhexidine,15 % + 1.5 %,solution,,
Black disinfectant,,solution,,
Gluteraldehyde,2%,solution,,
Hydrochlorothiazide,25 mg,tablet,,
Bendrofluazide,5 mg,tablet,,
Frusemide,40 mg,injection,,
Frusemide,10 mg/mL,injection,2 mL,ampoule
Mannitol,20%,injection,250 mL,bottle
Spironolactone,25 mg,tablet,,
Magnesium trisilicate co,,tablet,,
Cimetidine,400 mg,tablet,,
Ranitidine,150 mg,tablet,,
Bismuth chelate,120 mg/5 mL,liquid,560 mL,
Omeprazole,10 mg,tablet,,
Metoclopramide HCL,5 mg/mL,injection,2 mL,ampoule
Promethazine HCL,25 mg,tablet,,
Bismuth subgallate co.,,suppository,,
Atropine Sulphate,600 micrograms/mL,injection,,
Hyoscine butylbromide,20 mg/mL,injection,,
Propantheline bromide,15 mg,tablet,,
Bisacodyl,5 mg,tablet,,
Glycerol,2 g,suppository,,
Magnesium sulphate,50%,enema,130 mL,
Oral rehydration salts (ORS),,powder,,
ReSoMal,,powder,,
Zinc,20 mg,tablet,,
Loperamide HCL,2 mg,tablet,,
Hydrocortisone,50 mg/mL,injection,2 mL,ampoule
Prednisolone,5 mg,tablet,,
Dexamethasone,5 mg/mL,injection,5 mL,vial
Dexamethasone,500 micrograms,,,
Hydrocortisone,50 mg/mL,i/v infusion,,
Hydrocortisone acetate,20 mg,tablet,,
Hydrocortisone acetate,25 mg/mL,injectable suspension,5 mL,vial
Fludrocortisone acetate,100 micrograms,tablet,,
Oestrogen,625 micrograms,tablet,,
Glibenclamide,5 mg,tablet,,
insulin soluble,100 units/mL,injection,10 mL,vial
insulin zinc suspension,100 units/mL,injection,10 mL,vial
Metformin HCL,500 mg,tablet,,
Norgestrel + ethinyl estradiol,0.3 mg + 0.03 mg,tablet,,
Medroxyprogesterone acetate,150 mg/mL,injectable suspension,10 mL,vial
Norgestrel Progestogen,0.75 mg,tablet,,
Levonorgestrel,75 mg,implant,,
Levonorgestrel,750 micrograms,tablet,,
Copper containing IUD,,,,
Nonoxinol,,,,
Clomiphene citrate,50 mg,tablet,,
Norethisterone,5 mg,tablet,,
Iodine,,oral solution,30 mL,
Carbimazole,5 mg,tablet,,
Thyroxine sodium,100 micrograms,tablet,,
Tuberculin purified protein derivative,,injectable solution,1 mL,ampoule
Anti D,0.25 mg/mL,injection,1 mL,ampoule
Antirabies serum,1000 IU/5 mL,injection,,vial
Diphtheria antitoxin,,injection,,vial
Tetanus antitoxin,,injection,,vial
Gas-gangrene antitoxin mixed,,injection,,vial
BCG vaccine,,injection,20-dose,vial
Diptheria-pertissis-tetanus (DPT) vaccine,,injection,20-dose (10 mL),vial
Measles vaccine (live),,injection,10-dose (5mL),vial
Poliomylitis vaccine (live),,Oral suspension,20 -dose,dispenser
Tetanus vaccine,,injection,10 mL,vial
Pentavalent vaccine,,injection,2 dose,vial
Rabies vaccine,,injection,1-dose (0.5 mL),vial
Yellow fever vaccine,,injection,10-dose (5mL),vial
Suxamethonum chloride,50 mg/mL,injection,2 mL,ampoule
Edrophonium chloride,10 mg/mL,injection,1 mL,ampoule
Alucuronium chloride,5 mg/mL,injection,2 mL,ampoule
Neostigmine methylsulphate,2.5 mg/mL,injection,1 mL,
Vecuronium bromide,10 mg,injection,,vial
Tetracycline HCL,1%,eye ointment,3.5 g,tube
Chloramphenicol,1%,eye ointment,3.5 g,tube
Gentamicin,0.30%,eye drops,5 mL,
Chloramphenicol,0.50%,eye drops,5 mL,
Idoxuridine,0.10%,eye drops,5 mL,
Miconazole,1%,eye drops,10 mL,
Dexamethasone,0.10%,eye drops,5 mL,
Methylprednisolone acetate,40 mg/mL,injection,2 mL,
Amethocaine HCL,1%,eye drops,10 mL,
Acetazolamide,250 mg,tablet,,
Pilocarpine HCL,1%,eye drops,10 mL,
Timolol maleate,0.25%,eye drops,,
Acetazolamide,500 mg,injection,,vial
Glycerol,50%,oral solution,,
Atropine Sulphate,1%,eye ointment,3.5 g,tube
Cyclopentolate HCL,0.50%,eye drops,5 mL,
Tropicamide,0.50%,eye drops,5 mL,
Fluorescein sodium,1%,eye drops,5 ml,
Ergometrine meleate + oxytocin,500 micrograms,injection,,
Oxytocin,10 IU/mL,injection,1 mL,ampoule
Dinoprostone,0.2 mg/mL,vaginal gel,2.5 mL,
Dinoprostone,3 mg,vaginal tablet,,
Salbutamol Sulphate,4 mg,tablet,,
Salbutamol Sulphate,1 mg/mL,injection,5 mL,ampoule
Magnesium sulphate,500 mg/mL,injection,2 mL,ampoule
Misoprostol,200 micrograms,tablet,,
Dianeal + dextrose,1.50%,intraperitoneal dialysis solution,1 L,bottle
Dianeal + dextrose,4.25%,intraperitoneal dialysis,,
Chlorpromazine HCL,25 mg/mL,injection,2 mL,ampoule
Chlorpromazine HCL,25 mg,tablet,,
Amitriptyline HCL,25 mg,tablet,,
Amitriptyline HCL,10 mg/mL,injection,,
Chlorpromazine HCL,100 mg,tablet,,
Chlormethiazole,192 mg,capsule,,
Haloperidol,1.5 mg,tablet,,
Haloperidol decanoate,50 mg/mL,injection,1 mL,ampoule
Pericyazine,4 mg,tablet,,
Procyclidine HCL,5 mg,tablet,,
Procyclidine HCL,5 mg/mL,injection,2 mL,ampoule
Promazine,25 mg,tablet,,
Thioridazine,100 mg,tablet,,
Fluoxetine,20 mg,tablet,,
Imipramine,10 mg,tablet,,
Adrenaline,,injection,1 mL,ampoule
Aminophyline,100 mg,tablet,,
Aminophyline,25 mg/mL,injection,10 mL,ampoule
Salbutamol Sulphate,,aerosal inhalation,,
Salbutamol Sulphate,1 mg/mL,respirator solution,,ampoule
Beclomethasone dipropionate,,aerosal inhalation,,
Sodium cromogylycate,20 mg,spincap,,
Oral rehydration salts (ORS),,powder,,sachet
Potassium chloride,600 mg,tablet,,
Glucose (dextrose),50%,injection,20 mL,ampoule
Sodium lactate comp,,i/v infusion,1 L,pack
Water for injections,,,10 mL,ampoule
Glucose (dextrose),5%,i/v infusion,1 L,pack
Glucose (dextrose),10%,i/v infusion,100 L,pack
Potassium chloride,20%,injection,10 mL,ampoule
Sodium bicarbonate,4%,injection,50 mL,vial
Sodium chloride,0.90%,i/v infusion,1 L,
Sodium lactate + glucose,,i/v infusion,1 L,
Sodium lactate + glucose,,i/v infusion,200 mL,
Vitamin A,,capsule,,
Vitamin B Co. strong,,tablet,,
Nicotinamide,50 mg,tablet,,
Pyridoxine HCL,20 mg,tablet,,
Thiamine,100 mg/ml,injection,,
Vitamins multiple,,syrup,,
Vitamins multiple,,tablet,,
Calcium gluconate,500 mg,tablet,,
Vitamins multiple,,injection,,
Calciferol ,,tablet,,
Calcium gluconate,10%,injection,10 mL,ampoule
Vitamins multiple,,i/v infusion,,
Sodium bicarbonate,5%,ear drops,25 mL,
Betamethasone Sodium phosphate,0.10%,ear drops,10 mL,
Acetic acid,2%,ear drops,,
Gentian violet,0.50%,aqueous  paint,500 mL,
Nystatin,100000 IU/mL,Oral suspension,20 mL,
Allopurinol,100 mg,tablet,,
Colchicine,500 micrograms,tablet,,
Lactulose,3.1 mg/5 ml,solution,,
Liquid paraffin,,solution,,
